ID1,ID2,type,connection
872,699,phone,vhFryEpRTqcI@domain.com
172,994,IP,1
235,42,IP,7
143,252,phone,opqlFsjVKDUx@domain.com
526,366,IP,4
950,627,IP,2
395,278,email,203.105.203
238,506,email,159.167.156
629,546,email,135.206.210
776,91,phone,nfjQpqfhuihP@domain.com
870,398,IP,6
448,48,email,186.68.77
65,963,IP,10
440,7,phone,gdrzpgAWgJvB@domain.com
784,884,phone,fMgRWtiwmokS@domain.com
530,650,email,55.23.51
383,804,phone,jwhiloTUSejJ@domain.com
899,620,IP,7
502,97,email,105.220.55
707,247,phone,QOtvaaddoMTy@domain.com
301,439,phone,iLHSblYtwOyp@domain.com
744,930,email,234.118.233
364,962,email,169.103.193
319,23,phone,msBJjPcYshIV@domain.com
534,373,IP,9
341,72,phone,uDVzgxaDuDbI@domain.com
614,649,email,145.227.234
441,368,phone,hKXDUyHOwNuA@domain.com
672,726,IP,9
869,781,IP,5
361,956,IP,2
235,747,phone,gULUNfIklNtv@domain.com
484,621,email,222.170.226
494,499,IP,6
194,817,phone,IRGiTLhyLTOn@domain.com
478,347,email,194.247.2
588,950,IP,8
687,409,phone,MgudYCFTrHPn@domain.com
735,692,phone,OpGtqsXuMxck@domain.com
386,455,phone,YWsKKPVOoaAe@domain.com
84,2,IP,5
542,695,IP,9
134,333,IP,3
169,246,phone,tikwzaAbrVUn@domain.com
507,376,phone,VbCWCcYyspwH@domain.com
958,696,email,47.105.170
788,328,IP,7
984,105,phone,yXfdULSADHul@domain.com
226,691,phone,IxyirfRrBxGf@domain.com
180,174,IP,3
36,197,phone,ucOaxnSsvINQ@domain.com
482,644,IP,10
831,209,email,177.233.221
511,507,phone,WcMyOqFDCbTd@domain.com
905,677,IP,9
801,26,email,106.64.30
148,504,email,179.13.3
550,655,email,91.183.82
195,413,IP,3
689,384,email,143.125.168
962,700,email,200.13.245
454,559,email,13.194.106
630,444,phone,lKHWdWnFlQvM@domain.com
950,368,IP,2
289,422,IP,2
413,616,email,154.197.138
933,649,IP,2
634,482,email,52.31.36
850,192,phone,WTMJwSTNzHhc@domain.com
428,174,phone,ubDsGGLWpKWK@domain.com
506,890,email,133.100.240
427,211,IP,3
849,476,phone,olqDUGtOuxQl@domain.com
405,622,phone,iqJVIoEWBfcI@domain.com
349,659,email,29.2.31
