ID1,ID2,type,connection
300,332,IP,1
836,214,email,178.186.61
499,147,IP,10
711,491,email,123.97.85
719,413,email,138.121.96
499,893,email,5.194.252
63,920,IP,6
516,488,IP,2
300,127,phone,VgXvsWXoqsDW@domain.com
719,560,email,138.121.96
488,303,IP,2
300,371,email,115.23.214
413,583,email,6.229.21
836,763,phone,PHPxHHOBhgkX@domain.com
838,994,phone,cdqFuIZIvdJE@domain.com
147,665,email,65.115.200
763,214,IP,5
838,160,IP,8
303,656,email,232.16.127
214,888,IP,5
711,98,phone,nvlWYmPpkXyy@domain.com
656,935,email,57.166.102
109,255,IP,9
665,197,email,11.14.155
413,757,email,6.229.21
560,716,phone,mnIFDCMCEIxJ@domain.com
838,258,IP,8
505,936,IP,7
127,137,phone,ZQYAaFhKQExU@domain.com
332,300,IP,1
491,292,phone,qrOGrnydcJpL@domain.com
63,861,phone,HEKuBsAUEFBz@domain.com
300,19,IP,1
936,818,IP,7
560,282,phone,mnIFDCMCEIxJ@domain.com
491,6,IP,4
491,829,phone,qrOGrnydcJpL@domain.com
829,883,phone,qfAMwmjZCERz@domain.com
920,596,phone,eOPHKUJzsYId@domain.com
505,313,email,58.76.138
160,185,phone,cQqdDVPnDcpJ@domain.com
893,197,IP,10
883,683,IP,4
147,511,IP,10
883,855,email,220.3.61
596,862,email,62.16.52
836,176,phone,PHPxHHOBhgkX@domain.com
282,406,email,62.109.121
137,657,IP,1
147,30,email,65.115.200
332,127,IP,1
665,497,IP,10
505,618,phone,kCHiFwGcGjBF@domain.com
313,623,IP,7
127,769,email,246.156.54
109,391,IP,9
861,545,email,192.187.152
391,706,email,168.141.40
488,189,phone,sdRzllNeslEk@domain.com
583,753,IP,3
994,674,email,82.67.5
505,528,email,58.76.138
753,504,IP,3
303,387,email,232.16.127
656,387,IP,2
862,379,phone,TqEvSgEXKYtd@domain.com
706,503,IP,9
413,884,phone,jkvREJgvrZir@domain.com
862,407,email,232.229.173
488,516,phone,sdRzllNeslEk@domain.com
499,557,IP,10
499,260,email,5.194.252
545,688,IP,6
406,887,email,240.75.154
623,505,IP,7
127,976,phone,ZQYAaFhKQExU@domain.com
505,46,IP,7
98,908,phone,qYRDVKzxRSUz@domain.com
838,780,email,183.206.92
836,151,IP,5
6,409,IP,4
255,326,email,3.175.15
763,382,phone,CXbHgOzxIFZn@domain.com
109,751,email,68.208.246
780,826,phone,cFFqammfeMda@domain.com
780,938,phone,cFFqammfeMda@domain.com
665,651,email,11.14.155
757,906,IP,3
861,318,IP,6
751,662,phone,DmAHNTIgBifB@domain.com
98,171,IP,4
826,565,email,211.21.1
938,376,phone,ktrPyTqcUvlQ@domain.com
893,652,phone,ruvabxLvMxuJ@domain.com
63,659,email,177.50.20
516,119,phone,ddDsQKhabNLZ@domain.com
545,210,phone,LiasTlUnJElc@domain.com
829,478,phone,qfAMwmjZCERz@domain.com
623,604,email,213.173.107
503,240,email,125.78.248
545,210,phone,LiasTlUnJElc@domain.com
176,732,phone,juSZEVFbkyLN@domain.com
769,930,phone,ZYBBvatmvVGX@domain.com
683,349,email,151.187.61
282,435,phone,RtXhWSahAuvu@domain.com
376,994,IP,8
258,792,email,4.113.53
657,965,phone,mcCPheeKtuLT@domain.com
109,471,phone,tehKQuWDTjLe@domain.com
119,634,IP,2
63,562,phone,HEKuBsAUEFBz@domain.com
618,38,email,250.245.147
151,824,IP,5
706,679,IP,9
906,229,IP,3
503,706,IP,9
160,278,email,33.210.53
836,655,email,178.186.61
478,349,phone,DxOFKYtPXmsi@domain.com
780,744,IP,8
210,920,email,226.208.149
780,421,email,173.248.49
884,432,phone,HPNvhGNeTmjW@domain.com
679,853,IP,9
303,845,email,232.16.127
976,902,phone,qxrPLcbjTJtS@domain.com
623,460,phone,DmAKJUDCSKfr@domain.com
763,320,phone,CXbHgOzxIFZn@domain.com
282,161,email,62.109.121
38,573,email,176.104.108
902,976,email,153.246.123
665,858,IP,10
210,80,IP,6
716,757,email,81.110.220
6,568,email,139.77.23
651,392,phone,HajxTVqHPVxd@domain.com
300,929,email,115.23.214
80,457,IP,6
719,263,phone,jAMXDKdGCZhR@domain.com
313,513,IP,7
303,386,email,232.16.127
499,208,email,5.194.252
753,911,email,118.99.20
326,751,email,194.89.131
300,932,phone,VgXvsWXoqsDW@domain.com
883,461,email,220.3.61
836,824,email,178.186.61
258,105,IP,8
545,667,IP,6
214,535,email,175.32.74
147,30,phone,bbtCeGXsFbYH@domain.com
504,884,phone,JBhTWaBSiryh@domain.com
929,687,phone,ZpjwRewNGUbJ@domain.com
457,318,phone,UGJDjxwgzvtr@domain.com
911,481,IP,3
976,725,phone,qxrPLcbjTJtS@domain.com
716,335,email,81.110.220
387,598,phone,yVTlEkWIBOHC@domain.com
965,564,email,149.124.9
929,930,phone,ZpjwRewNGUbJ@domain.com
137,693,IP,1
528,14,email,190.203.3
171,133,IP,4
46,102,email,162.35.205
667,469,phone,AjKQWSVszEOJ@domain.com
98,17,IP,4
210,231,IP,6
318,861,phone,iuArLtyOJzAw@domain.com
392,717,phone,vWdKDSjGpcyf@domain.com
413,374,IP,3
231,323,IP,6
568,903,phone,qadEeXAqGaqv@domain.com
387,172,IP,2
171,409,IP,4
535,3,IP,5
655,771,email,138.112.151
151,462,IP,5
147,524,phone,bbtCeGXsFbYH@domain.com
387,671,email,77.48.53
706,748,email,194.28.0
659,169,phone,rLOIYNtNTdPD@domain.com
662,312,email,227.187.105
938,376,phone,ktrPyTqcUvlQ@domain.com
665,820,IP,10
119,446,email,91.238.232
769,877,phone,ZYBBvatmvVGX@domain.com
717,886,phone,WIANIKDyOMTu@domain.com
386,100,email,7.161.95
888,771,IP,5
504,269,IP,3
303,516,email,232.16.127
757,672,phone,wycMaRAqimbu@domain.com
792,915,IP,8
671,238,phone,yxIgLEdCocrX@domain.com
326,168,phone,NvcUeWXJvXIl@domain.com
105,376,email,65.84.226
667,80,phone,AjKQWSVszEOJ@domain.com
719,672,phone,jAMXDKdGCZhR@domain.com
406,787,email,240.75.154
413,719,IP,3
292,331,email,191.85.25
935,598,IP,2
238,387,IP,2
210,746,email,226.208.149
930,860,IP,1
100,114,IP,2
744,350,phone,XdXPBBwoEgge@domain.com
127,872,phone,ZQYAaFhKQExU@domain.com
535,130,IP,5
160,714,phone,cQqdDVPnDcpJ@domain.com
565,605,IP,8
382,888,IP,5
744,444,phone,XdXPBBwoEgge@domain.com
932,902,phone,qaxgiPPRBNMr@domain.com
516,597,email,133.72.7
151,96,IP,5
96,485,IP,5
860,283,phone,lTCrvUiwVVwn@domain.com
382,937,IP,5
757,92,phone,wycMaRAqimbu@domain.com
169,918,email,46.6.54
656,835,email,57.166.102
214,894,phone,zYwOgZYwlyZj@domain.com
481,296,phone,oaCKiOlaIXrz@domain.com
100,440,IP,2
263,141,phone,FqiJDCCjEBFt@domain.com
605,802,phone,KrYLwsVoZini@domain.com
688,746,phone,tzWyCzOeyLBl@domain.com
481,263,email,14.27.51
30,243,IP,10
349,568,IP,4
172,386,phone,bxvHnwCjVgHc@domain.com
208,987,phone,ETVhHNRetOmw@domain.com
386,755,email,7.161.95
994,285,phone,OicaoyNLOxsU@domain.com
127,52,email,246.156.54
535,576,phone,jdmwzpnvelsV@domain.com
717,253,email,46.71.124
440,935,email,129.41.58
481,779,IP,3
98,873,phone,qYRDVKzxRSUz@domain.com
623,422,email,213.173.107
853,175,email,142.180.57
446,420,IP,2
557,812,email,117.48.224
392,603,IP,10
598,324,email,152.136.122
386,362,phone,WivjLcKxUMZT@domain.com
780,307,IP,8
446,60,IP,2
937,338,IP,5
175,188,phone,ejFXsiTiKRPY@domain.com
147,524,IP,10
96,450,IP,5
780,674,phone,cFFqammfeMda@domain.com
562,686,email,200.41.6
918,562,phone,ovdrMYnuawbM@domain.com
679,454,phone,tmoUnrnYFcre@domain.com
168,663,IP,9
60,834,phone,LEzypWKLMzCe@domain.com
63,29,phone,HEKuBsAUEFBz@domain.com
657,860,email,94.244.95
114,198,IP,2
711,304,phone,nvlWYmPpkXyy@domain.com
877,67,email,225.200.246
460,226,IP,7
623,419,IP,7
147,197,IP,10
169,861,phone,EnNZRPRjTbjF@domain.com
746,457,IP,6
185,990,phone,nvQswFXnGZts@domain.com
903,461,phone,lDAKEgBsyxrl@domain.com
255,849,email,3.175.15
208,306,email,178.43.20
376,418,phone,AUZyLLBnbbXG@domain.com
603,859,email,80.113.118
320,875,email,84.190.217
38,734,email,176.104.108
440,863,email,129.41.58
269,718,IP,3
386,114,phone,WivjLcKxUMZT@domain.com
937,742,IP,5
911,432,phone,QOePluFYqUyb@domain.com
679,35,IP,9
130,956,phone,INfgxBSHJqWe@domain.com
30,301,email,100.204.216
335,297,phone,sKChZSrzwstE@domain.com
331,825,IP,4
19,36,phone,sIZpGuRsAzAu@domain.com
208,40,phone,ETVhHNRetOmw@domain.com
528,936,IP,7
920,231,phone,eOPHKUJzsYId@domain.com
454,240,email,126.8.201
382,252,email,210.143.71
845,845,email,145.188.60
918,500,phone,ovdrMYnuawbM@domain.com
332,657,phone,TQOfwPRHcGze@domain.com
769,10,phone,ZYBBvatmvVGX@domain.com
80,490,phone,ZFMFQfAhiRQd@domain.com
133,274,email,62.242.253
198,979,IP,2
716,58,email,81.110.220
560,75,IP,3
718,643,phone,yLAnarpQnJEt@domain.com
716,49,email,81.110.220
485,450,phone,MFukBjOPSCmn@domain.com
663,849,email,71.255.184
188,168,IP,9
603,277,IP,10
965,486,phone,LHvRUngIEHJJ@domain.com
478,903,IP,4
350,376,email,13.88.153
990,285,IP,8
36,983,phone,LjeYbZigQVSL@domain.com
836,943,phone,PHPxHHOBhgkX@domain.com
10,293,phone,DuwXyGMvMVwC@domain.com
987,206,email,91.165.189
252,437,IP,5
185,418,email,191.165.38
461,165,email,119.139.238
137,961,email,187.85.69
604,102,IP,7
732,468,phone,ngOwpLFJuSCf@domain.com
623,574,email,213.173.107
285,298,IP,8
293,794,IP,1
643,606,IP,3
683,341,email,151.187.61
450,355,email,23.209.0
413,552,IP,3
432,190,phone,yBoYmfbbEZEy@domain.com
504,582,phone,JBhTWaBSiryh@domain.com
674,744,email,90.176.142
976,976,IP,1
826,674,IP,8
208,987,phone,ETVhHNRetOmw@domain.com
283,930,IP,1
671,788,email,35.55.246
887,560,phone,nYwIwHoEqcoX@domain.com
598,400,phone,HuQEuNuKynAX@domain.com
894,864,email,16.40.44
312,21,IP,9
562,778,phone,vuzTyWzoGebb@domain.com
488,362,IP,2
787,132,email,77.97.158
603,206,IP,10
80,80,phone,ZFMFQfAhiRQd@domain.com
58,870,phone,dPrKJaexJCya@domain.com
893,206,email,177.140.115
779,405,IP,3
30,438,IP,10
771,655,phone,sogCsQGNvDLK@domain.com
903,271,phone,lDAKEgBsyxrl@domain.com
938,372,email,65.193.110
405,216,phone,QhiKxPkxTiXE@domain.com
271,519,IP,4
956,125,email,20.89.211
406,435,IP,3
623,925,phone,DmAKJUDCSKfr@domain.com
500,722,phone,xLOOksYVRAXk@domain.com
141,743,email,63.186.177
409,869,email,192.132.132
511,124,phone,ogexQfCuVopK@domain.com
