ID1,ID2,type,connection
100000049,100000026,EMAIL,ufnOhVCDsfKw@domain.com
100000048,100000022,EMAIL,nistAvbBFWiZ@domain.com
100000047,100000040,EMAIL,KvggxCYDTCwW@domain.com
100000046,100000045,PHONE,3892739831
100000044,100000032,EMAIL,ZCkXkIRwoJfT@domain.com
100000043,100000046,EMAIL,WIwtxyobOMBg@domain.com
100000042,100000037,EMAIL,xAfWdMFSnJvh@domain.com
100000041,100000043,EMAIL,ywvcpRRgFAuv@domain.com
100000039,100000031,EMAIL,scOPEYynXPbS@domain.com
100000038,100000023,PHONE,8821989998
100000036,100000033,EMAIL,myNqcjmtejFS@domain.com
100000035,100000047,PHONE,2305007107
100000034,100000035,EMAIL,fPWrbTAWCXTe@domain.com
100000030,100000039,EMAIL,DXSHIjhsPPrX@domain.com
100000029,100000034,EMAIL,wMBWnfIbGFSv@domain.com
100000028,100000030,EMAIL,dsvLzcruLxxZ@domain.com
100000027,100000041,EMAIL,KdDtnwWFBhPu@domain.com
100000025,100000017,PHONE,4303710367
100000024,100000037,PHONE,6756290951
100000021,100000041,PHONE,8063789880
100000020,100000042,PHONE,3575917647
100000019,100000049,EMAIL,nWhNXMICJtlK@domain.com
100000018,100000021,EMAIL,FJvjyOoYxNky@domain.com
100000016,100000021,EMAIL,wEqqtSmBpGcA@domain.com
100000015,100000044,PHONE,6605023554
100000014,100000034,PHONE,8440747865
100000013,100000044,PHONE,9256441701
100000012,100000042,EMAIL,WOPmvakcAhvW@domain.com
100000011,100000032,EMAIL,cVJbbuKZeZPI@domain.com
100000010,100000039,PHONE,1059547435
100000009,100000010,PHONE,1401391755
100000008,100000028,PHONE,2072459314
100000007,100000043,EMAIL,ThIvtMMqaCrj@domain.com
100000006,100000019,PHONE,4040204788
100000005,100000048,EMAIL,EMLPOnAWLyhi@domain.com
100000004,100000022,PHONE,3522414729
100000003,100000045,EMAIL,dBVuzMTNgUki@domain.com
100000002,100000029,PHONE,4858927149
100000001,100000047,PHONE,5715935909
100000000,100000036,EMAIL,ougcXiIhlWpV@domain.com
100000038,100000023,PHONE,8821989998
100000007,100000046,EMAIL,ThIvtMMqaCrj@domain.com
100000049,100000019,PHONE,7755417876
100000029,100000001,EMAIL,wMBWnfIbGFSv@domain.com
100000036,100000000,EMAIL,myNqcjmtejFS@domain.com
100000048,100000004,PHONE,3840857019
100000000,100000033,EMAIL,ougcXiIhlWpV@domain.com
100000019,100000049,PHONE,3028635607
100000005,100000022,EMAIL,EMLPOnAWLyhi@domain.com
100000003,100000016,PHONE,7560060607
100000004,100000022,EMAIL,tFOPICCkNwoz@domain.com
100000028,100000039,PHONE,5735222192
100000044,100000032,EMAIL,ZCkXkIRwoJfT@domain.com
100000011,100000015,PHONE,5271706327
100000045,100000018,PHONE,2525313230
100000047,100000029,PHONE,4291414791
100000000,100000033,PHONE,1218564128
100000017,100000025,PHONE,3844081205
100000038,100000023,PHONE,8821989998
100000006,100000026,PHONE,4040204788
