id,name,PHONE,EMAIL,Cluster
100000000,ougcXiIhlWpV,1218564128,ougcXiIhlWpV@domain.com,1
100000001,ejdTbUyzTVjv,5715935909,ejdTbUyzTVjv@domain.com,4
100000002,DcULDhrMIzvt,4858927149,DcULDhrMIzvt@domain.com,4
100000003,dBVuzMTNgUki,7560060607,dBVuzMTNgUki@domain.com,2
100000004,tFOPICCkNwoz,3522414729,tFOPICCkNwoz@domain.com,9
100000005,EMLPOnAWLyhi,1006180654,EMLPOnAWLyhi@domain.com,9
100000006,MHAVjePWBdog,4040204788,MHAVjePWBdog@domain.com,5
100000007,ThIvtMMqaCrj,1627502453,ThIvtMMqaCrj@domain.com,2
100000008,armkELEJrWlF,2072459314,armkELEJrWlF@domain.com,3
100000009,kYKyNFIKAlcX,1401391755,kYKyNFIKAlcX@domain.com,3
100000010,tVfRUKGYhyFr,1059547435,tVfRUKGYhyFr@domain.com,3
100000011,cVJbbuKZeZPI,5271706327,cVJbbuKZeZPI@domain.com,10
100000012,WOPmvakcAhvW,9044733842,WOPmvakcAhvW@domain.com,8
100000013,UGCQsQhqBlkz,9256441701,UGCQsQhqBlkz@domain.com,10
100000014,jNkJgJCGkkvz,8440747865,jNkJgJCGkkvz@domain.com,4
100000015,zgbJUePTZbxT,6605023554,zgbJUePTZbxT@domain.com,10
100000016,wEqqtSmBpGcA,5429882121,wEqqtSmBpGcA@domain.com,2
100000017,sCIPHxOZdRVq,3844081205,sCIPHxOZdRVq@domain.com,7
100000018,FJvjyOoYxNky,1394969282,FJvjyOoYxNky@domain.com,2
100000019,nWhNXMICJtlK,3028635607,nWhNXMICJtlK@domain.com,5
100000020,FjGVghREvTcy,3575917647,FjGVghREvTcy@domain.com,8
100000021,nSrsJWopftlR,8063789880,nSrsJWopftlR@domain.com,2
100000022,ksZdwhgPrSaE,5120982273,ksZdwhgPrSaE@domain.com,9
100000023,tLrkrOFzXLwW,3726290461,tLrkrOFzXLwW@domain.com,6
100000024,CDfiJErlwvEX,6756290951,CDfiJErlwvEX@domain.com,8
100000025,aEFwaISqEXjq,4303710367,aEFwaISqEXjq@domain.com,7
100000026,xKrfLXapgRAn,2082105824,xKrfLXapgRAn@domain.com,5
100000027,KdDtnwWFBhPu,9366734688,KdDtnwWFBhPu@domain.com,2
100000028,dsvLzcruLxxZ,5735222192,dsvLzcruLxxZ@domain.com,3
100000029,wMBWnfIbGFSv,1461949976,wMBWnfIbGFSv@domain.com,4
100000030,DXSHIjhsPPrX,9486487110,DXSHIjhsPPrX@domain.com,3
100000031,FHsqGaSQEEJX,5274174025,FHsqGaSQEEJX@domain.com,3
100000032,VrVRbaGBkOip,1313440171,VrVRbaGBkOip@domain.com,10
100000033,goBCzLaXiiPF,8631468955,goBCzLaXiiPF@domain.com,1
100000034,fPWrbTAWCXTe,7122503167,fPWrbTAWCXTe@domain.com,4
100000035,xYeEBOASKCQq,2305007107,xYeEBOASKCQq@domain.com,4
100000036,myNqcjmtejFS,3772779929,myNqcjmtejFS@domain.com,1
100000037,JsdltwPEiVgt,7606929853,JsdltwPEiVgt@domain.com,8
100000038,yxHoHowRTBSd,8821989998,yxHoHowRTBSd@domain.com,6
100000039,scOPEYynXPbS,8160976433,scOPEYynXPbS@domain.com,3
100000040,mhkXLMDIyNdW,4801497243,mhkXLMDIyNdW@domain.com,4
100000041,ywvcpRRgFAuv,4080445542,ywvcpRRgFAuv@domain.com,2
100000042,xAfWdMFSnJvh,1348877273,xAfWdMFSnJvh@domain.com,8
100000043,WIwtxyobOMBg,9725027907,WIwtxyobOMBg@domain.com,2
100000044,ZCkXkIRwoJfT,1067694370,ZCkXkIRwoJfT@domain.com,10
100000045,dEBLlfFatmgd,2525313230,dEBLlfFatmgd@domain.com,2
100000046,SgCypoMcoBOB,3892739831,SgCypoMcoBOB@domain.com,2
100000047,KvggxCYDTCwW,4291414791,KvggxCYDTCwW@domain.com,4
100000048,nistAvbBFWiZ,3840857019,nistAvbBFWiZ@domain.com,9
100000049,ufnOhVCDsfKw,7755417876,ufnOhVCDsfKw@domain.com,5
