ID1,ID2,type,connection
999,996,phone,OBvCJkTtqIev@domain.com
998,978,email,255.86.79
997,995,email,209.169.94
994,985,phone,cfCoTvHAZrwP@domain.com
993,991,IP,5
992,983,phone,HghycQMbclVR@domain.com
990,984,email,18.47.110
989,993,email,67.148.230
988,968,email,148.113.0
987,989,email,54.160.79
986,987,email,252.44.135
982,982,IP,2
981,981,email,26.5.3
980,971,email,186.53.73
979,994,IP,10
977,987,IP,5
976,995,phone,znWTMwPtNGkv@domain.com
975,970,email,103.205.92
974,996,IP,4
973,973,IP,8
972,997,email,154.230.160
969,978,IP,3
967,999,email,45.169.13
966,974,IP,4
965,965,phone,ybvoChyfqHmM@domain.com
964,990,email,242.46.87
963,963,email,22.193.209
962,975,phone,uMreUNjXmnXY@domain.com
961,961,IP,3
960,973,phone,bAzdykBGDdVG@domain.com
959,979,email,101.16.210
958,995,phone,IwVSrPbzWVNn@domain.com
957,980,email,139.190.179
956,980,email,184.168.100
955,955,IP,3
954,954,IP,8
953,953,IP,10
952,967,IP,4
951,994,IP,10
950,950,IP,9
949,975,IP,7
948,959,IP,10
947,947,IP,2
946,962,phone,LfOdUOUhHVHf@domain.com
945,972,IP,6
944,944,IP,6
943,958,IP,6
942,969,IP,3
941,979,phone,tbZHlerNkdrJ@domain.com
940,983,IP,2
939,981,email,204.203.255
938,942,IP,3
937,950,email,193.127.166
936,973,IP,8
935,970,IP,7
934,940,email,189.10.74
933,945,IP,6
932,954,IP,8
931,933,IP,6
930,949,IP,7
929,929,phone,YbxUBOTwUnmP@domain.com
928,969,IP,3
927,941,IP,10
926,968,phone,KGklGGKSNSMZ@domain.com
925,963,IP,8
924,924,IP,5
923,929,phone,DPxdeLCEJhvf@domain.com
922,926,email,169.46.208
921,932,phone,kFHRwEGDMSIv@domain.com
920,947,email,130.116.3
919,947,IP,2
918,918,phone,nVpnCnPoTzjT@domain.com
917,917,IP,3
916,932,phone,qyamxTRvkKth@domain.com
915,937,phone,EHjmAUIcxzoz@domain.com
914,933,phone,ZaCOzOWnAGBf@domain.com
913,943,phone,NcUIkvfKPDGP@domain.com
912,934,IP,2
911,911,phone,HfNGJLWBEtIe@domain.com
910,910,email,138.124.52
909,928,IP,3
908,942,email,94.203.154
907,925,email,118.91.35
906,927,email,142.89.144
905,924,IP,5
904,915,IP,9
903,904,phone,LOTqeWbqTKXz@domain.com
902,917,IP,3
901,933,IP,6
900,976,email,238.24.44
899,993,IP,5
898,918,phone,KIHUqUFvDDNV@domain.com
897,922,phone,VIWKJvMMTuDj@domain.com
896,937,email,42.228.53
895,959,email,213.204.129
894,894,phone,PLZVnwalVUdX@domain.com
893,914,phone,WICsEQjfapkL@domain.com
892,939,IP,10
891,894,phone,nVAOVKDYnHIZ@domain.com
890,968,phone,AgJvIeoUwYbn@domain.com
889,949,IP,7
888,888,email,48.117.192
887,994,email,94.59.21
886,961,email,136.111.124
885,954,IP,8
884,884,phone,KzwGRDlWrJkb@domain.com
883,981,email,183.237.211
882,998,email,107.79.144
881,907,email,111.179.241
880,884,phone,lLvYXRMbXMjh@domain.com
879,990,phone,ApKZnJJtajMB@domain.com
